"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"287","","Adam Humphries","TB","WR104","5","269","304","286.5","17.5","320.0","+33.0"
"288","","Ka'imi Fairbairn","HOU","K20","10","273","307","290.0","17.0","280.0","-8.0"
"289","","New York (NYG)","","DST21","9","254","330","292.0","38.0","298.0","+9.0"
"290","","Washington (WAS)","","DST22","4","251","375","313.0","62.0","314.0","+24.0"
"291","","Kevin White","CHI","WR105","5","252","252","252.0","0.0","290.0","-1.0"
"292","","Nick Vannett","SEA","TE32","7","293","295","294.0","1.0","275.0","-17.0"
"293","","Niles Paul","JAC ","TE33","9","254","254","254.0","0.0","",""
"294","","Cincinnati (CIN)","","DST23","9","279","312","295.5","16.5","295.0","+1.0"
"295","","Marcus Murphy","BUF","RB81","11","256","256","256.0","0.0","371.0","+76.0"
"296","","Pittsburgh (PIT)","","DST24","7","292","300","296.0","4.0","188.0","-108.0"
"297","","Mark Andrews","BAL","TE34","10","256","347","301.5","45.5","319.0","+22.0"
"298","","Antonio Gates","LAC","TE35","8","294","299","296.5","2.5","232.0","-66.0"
"299","","Lamar Jackson","BAL","QB34","10","291","303","297.0","6.0","252.0","-47.0"
"300","","Dustin Hopkins","WAS","K21","4","288","309","298.5","10.5","272.0","-28.0"
"301","","DeAndre Washington","OAK","RB82","7","261","361","311.0","50.0","366.0","+65.0"
"302","","D.J. Chark","JAC","WR106","9","262","336","299.0","37.0","315.0","+13.0"
"303","","Robert Turbin","IND","RB83","9","270","332","301.0","31.0","394.0","+91.0"
"304","","Steven Hauschka","BUF","K22","11","301","302","301.5","0.5","258.0","-46.0"
"305","","Vernon Davis","WAS","TE36","4","298","307","302.5","4.5","260.0","-45.0"
"306","","Mike Gillislee","FA","RB84","","271","271","271.0","0.0","312.0","+6.0"
"307","","Brock Osweiler","MIA","QB35","11","277","277","277.0","0.0","",""
"308","","Jonnu Smith","TEN","TE37","8","289","324","306.5","17.5","365.0","+57.0"
"309","","Tyrod Taylor","CLE","QB36","11","302","311","306.5","4.5","213.0","-96.0"
"310","","Brett Maher","DAL","K23","8","280","280","280.0","0.0","279.0","-31.0"
"311","","Ameer Abdullah","DET","RB85","6","306","310","308.0","2.0","270.0","-41.0"
"312","","Kalen Ballage","MIA","RB86","11","280","338","309.0","29.0","244.0","-68.0"
"313","","Phil Dawson","ARI","K24","9","298","321","309.5","11.5","273.0","-40.0"
"314","","Green Bay (GB)","","DST25","7","283","337","310.0","27.0","238.0","-76.0"
"315","","Cody Parkey","CHI","K25","5","284","284","284.0","0.0","329.0","+14.0"
"316","","Jacquizz Rodgers","TB","RB87","5","297","324","310.5","13.5","364.0","+48.0"
"317","","Sebastian Janikowski","SEA","K26","7","286","286","286.0","0.0","278.0","-39.0"
"318","","Chad Kelly","FA","QB37","","287","287","287.0","0.0","",""
"319","","Austin Carr","NO","WR107","6","288","288","288.0","0.0","",""
"320","","Cody Kessler","JAC","QB38","9","290","290","290.0","0.0","",""
"321","","Josh McCown","NYJ","QB39","11","292","292","292.0","0.0","308.0","-13.0"
"322","","Tampa Bay (TB)","","DST26","5","293","401","347.0","54.0","317.0","-5.0"
"323","","Luke Willson","DET","TE38","6","294","342","318.0","24.0","291.0","-32.0"
"324","","Mark Walton","CIN","RB88","9","296","354","325.0","29.0","355.0","+31.0"
"325","","Laquon Treadwell","MIN","WR108","10","299","299","299.0","0.0","316.0","-9.0"
"326","","Kansas City (KC)","","DST27","12","300","335","317.5","17.5","224.0","-102.0"
"327","","C.J. Prosise","SEA","RB89","7","304","333","318.5","14.5","297.0","-30.0"
"328","","Gerald Everett","LAR","TE39","12","318","319","318.5","0.5","346.0","+18.0"
"329","","Nick Foles","PHI","QB40","9","313","327","320.0","7.0","266.0","-63.0"
"330","","Sam Bradford","ARI","QB41","9","306","306","306.0","0.0","242.0","-88.0"
"331","","Nathan Peterman","BUF","QB42","11","308","308","308.0","0.0","342.0","+11.0"
"332","","Damien Williams","KC","RB90","12","308","403","355.5","47.5","",""
"333","","Tyler Higbee","LAR","TE40","12","309","359","334.0","25.0","352.0","+19.0"
"334","","Dan Arnold","NO","WR109","6","310","310","310.0","0.0","",""
"335","","Roc Thomas","MIN","RB91","10","311","360","335.5","24.5","",""
"336","","Ian Thomas","CAR","TE41","4","312","312","312.0","0.0","",""
"337","","Robert Kelley","WAS ","RB92","4","313","313","313.0","0.0","203.0","-134.0"
"338","","Aldrick Rosas","NYG","K27","9","314","314","314.0","0.0","333.0","-5.0"
"339","","Randy Bullock","CIN","K28","9","315","315","315.0","0.0","356.0","+17.0"
"340","","Atlanta (ATL)","","DST28","8","315","392","353.5","38.5","220.0","-120.0"
"341","","Terrance Williams","DAL ","WR110","8","316","316","316.0","0.0","264.0","-77.0"
"342","","Michael Roberts","DET","TE42","6","316","396","356.0","40.0","",""
"343","","Virgil Green","LAC","TE43","8","318","367","342.5","24.5","303.0","-40.0"
"344","","Shelton Gibson","PHI","WR111","9","319","319","319.0","0.0","",""
"345","","Jason Sanders","MIA","K29","11","320","320","320.0","0.0","409.0","+64.0"
"346","","Jordan Akins","HOU","TE44","10","320","384","352.0","32.0","361.0","+15.0"
"347","","Ryan Griffin","HOU","TE45","10","321","352","336.5","15.5","293.0","-54.0"
"348","","Maxx Williams","BAL","TE46","10","322","322","322.0","0.0","",""
"349","","Detroit (DET)","","DST29","6","326","332","329.0","3.0","241.0","-108.0"
"350","","Javon Wims","CHI","WR112","5","323","323","323.0","0.0","380.0","+30.0"
"351","","Rico Gathers","DAL","TE47","8","323","364","343.5","20.5","338.0","-13.0"
"352","","DaeSean Hamilton","DEN","WR113","10","325","325","325.0","0.0","408.0","+56.0"
"353","","Jaylen Samuels","PIT","TE48","7","325","348","336.5","11.5","296.0","-57.0"
"354","","Austin Seferian-Jenkins","JAC ","TE49","9","326","326","326.0","0.0","190.0","-164.0"
"355","","A.J. Derby","MIA","TE50","11","327","397","362.0","35.0","",""
"356","","Tyler Kroft","CIN","TE51","9","328","357","342.5","14.5","368.0","+12.0"
"357","","Mike Wallace","PHI ","WR114","9","329","329","329.0","0.0","253.0","-104.0"
"358","","Garrett Celek","SF","TE52","11","329","353","341.0","12.0","299.0","-59.0"
"359","","Adam Shaheen","CHI ","TE53","5","330","382","356.0","26.0","345.0","-14.0"
"360","","Jay Cutler","FA","QB43","","331","331","331.0","0.0","",""
"361","","Indianapolis (IND)","","DST30","9","331","377","354.0","23.0","",""
"362","","Oakland (OAK)","","DST31","7","333","344","338.5","5.5","302.0","-60.0"
"363","","Jacoby Brissett","IND","QB44","9","334","334","334.0","0.0","416.0","+53.0"
"364","","San Francisco (SF)","","DST32","11","334","387","360.5","26.5","306.0","-58.0"
"365","","Mike Boone","MIN","RB93","10","335","335","335.0","0.0","",""
"366","","Jason Myers","NYJ","K30","11","339","339","339.0","0.0","",""
"367","","Ryan Switzer","PIT","WR115","7","340","340","340.0","0.0","",""
"368","","Jonathan Stewart","NYG ","RB94","9","341","341","341.0","0.0","267.0","-101.0"
"369","","Chris Moore","BAL","WR116","10","343","343","343.0","0.0","",""
"370","","Justin Jackson","LAC","RB95","8","345","345","345.0","0.0","402.0","+32.0"
"371","","Terrelle Pryor","BUF","WR117","11","346","346","346.0","0.0","277.0","-94.0"
"372","","Greg Joseph","CLE","K31","11","349","349","349.0","0.0","",""
